,name,display_address,rating,review_count,price,latitude,longitude,bid,type
66,Frances,"3870 17th St, San Francisco, CA 94114",4.5,1509,$$$,37.762698,-122.432232,61326,American (New)
67,Home Coffee Roasters,"1222 Noriega St, San Francisco, CA 94122",4.5,1295,$$,-9999.0,-9999.0,75429,Coffee & Tea
68,Philz Coffee,"201 Berry St, San Francisco, CA 94158",4.5,1422,$,37.775487,-122.393661,33709,Coffee & Tea
69,Deli Board,"1058 Folsom St, San Francisco, CA 94103",4.5,1524,$$,37.777504,-122.406948,66925,Delis
70,Marlowe,"500 Brannan St, San Francisco, CA 94107",4.0,2732,$$$,-9999.0,-9999.0,80063,Diners
71,The Buena Vista,"2765 Hyde St, San Francisco, CA 94109",4.0,2866,$$,37.806493,-122.420554,3324,Bars
72,Lapisara Eatery,"698 Post St, San Francisco, CA 94109",4.5,1086,$$,-9999.0,-9999.0,94578,Breakfast & Brunch
73,Thanh Long,"4101 Judah St, San Francisco, CA 94122",4.0,2939,$$$,37.760383,-122.50609,3228,Seafood
74,The Italian Homemade Company,"716 Columbus Ave, San Francisco, CA 94133",4.5,1739,$$,-9999.0,-9999.0,78601,Italian
75,The Bird,"115 New Montgomery St, San Francisco, CA 94105",4.0,2172,$,-9999.0,-9999.0,89128,Chicken Shop
76,Woodhouse Fish Company,"1914 Fillmore St, San Francisco, CA 94115",4.0,2426,$$,37.787386,-122.433476,59009,Seafood
77,Bar Crudo,"655 Divisadero St, San Francisco, CA 94117",4.0,1890,$$$,37.775684,-122.437965,59154,Seafood
78,Cha Cha Cha,"1801 Haight St, San Francisco, CA 94117",4.0,3342,$$,-9999.0,-9999.0,91984,Caribbean
79,Devil's Teeth Baking Company,"3876 Noriega St, San Francisco, CA 94122",4.5,1918,$,-9999.0,-9999.0,87122,Bakeries
80,Pizzeria Delfina - Mission,"3621 18th St, San Francisco, CA 94110",4.0,2331,$$,37.761514,-122.424318,856,Pizza
81,Submarine Center,"820 Ulloa St, San Francisco, CA 94127",4.5,1369,$$,-9999.0,-9999.0,78727,Italian
